Show Name,Show Theatre,Show Type,Attendance,Gross,Performances,Date,Average Ticket Price in week
Miss Saigon,Broadway,Musical,14088,759192,8,26/01/1992,53.8893
Miss Saigon,Broadway,Musical,14088,741472,8,02/02/1992,52.6315
Miss Saigon,Broadway,Musical,14088,741091,8,09/02/1992,52.6044
Miss Saigon,Broadway,Musical,14088,750398,8,16/02/1992,53.265
Miss Saigon,Broadway,Musical,14088,756909,8,23/02/1992,53.7272
Miss Saigon,Broadway,Musical,14088,746225,8,01/03/1992,52.9688
Miss Saigon,Broadway,Musical,14088,708433,8,08/03/1992,50.2863
Miss Saigon,Broadway,Musical,14088,708315,8,15/03/1992,50.2779
Miss Saigon,Broadway,Musical,14088,710345,8,22/03/1992,50.422
Miss Saigon,Broadway,Musical,14088,712946,8,29/03/1992,50.6066
Miss Saigon,Broadway,Musical,14088,710415,8,05/04/1992,50.427
A Streetcar Named Desire 92,Ethel Barrymore,Play,7656,314028,1,12/04/1992,41.0172
Miss Saigon,Broadway,Musical,13773,699688,8,12/04/1992,50.8014
A Streetcar Named Desire 92,Ethel Barrymore,Play,8381,354794,8,19/04/1992,42.3331
Miss Saigon,Broadway,Musical,14019,700167,8,19/04/1992,49.9441
A Streetcar Named Desire 92,Ethel Barrymore,Play,8663,368407,8,26/04/1992,42.5265
Miss Saigon,Broadway,Musical,14088,705154,8,26/04/1992,50.0535
A Streetcar Named Desire 92,Ethel Barrymore,Play,7875,332830,8,03/05/1992,42.2641
Miss Saigon,Broadway,Musical,13953,699304,8,03/05/1992,50.1185
A Streetcar Named Desire 92,Ethel Barrymore,Play,7070,293613,8,10/05/1992,41.5294
Miss Saigon,Broadway,Musical,13938,697606,8,10/05/1992,50.0507
A Streetcar Named Desire 92,Ethel Barrymore,Play,7673,328716,8,17/05/1992,42.8406
Miss Saigon,Broadway,Musical,14025,704589,8,17/05/1992,50.2381
A Streetcar Named Desire 92,Ethel Barrymore,Play,6958,289457,8,24/05/1992,41.6006
Miss Saigon,Broadway,Musical,14088,706406,8,24/05/1992,50.1424
A Streetcar Named Desire 92,Ethel Barrymore,Play,6062,249238,8,31/05/1992,41.1148
Miss Saigon,Broadway,Musical,13912,706526,8,31/05/1992,50.7854
A Streetcar Named Desire 92,Ethel Barrymore,Play,6059,250416,8,07/06/1992,41.3296
Miss Saigon,Broadway,Musical,13596,691925,8,07/06/1992,50.8918
A Streetcar Named Desire 92,Ethel Barrymore,Play,6142,248778,8,14/06/1992,40.5044
Miss Saigon,Broadway,Musical,13956,703465,8,14/06/1992,50.4059
A Streetcar Named Desire 92,Ethel Barrymore,Play,6111,243197,8,21/06/1992,39.7966
